n,r,run,valid,path_length,computation_time
200,1.5,57,0,0,0.0012757
200,1.5,58,0,0,0.00141825
200,1.5,59,0,0,0.00123286
200,1.5,60,0,0,0.00100156
200,1.5,61,0,0,0.00108703
200,1.5,62,0,0,0.00123683
200,1.5,63,0,0,0.00111813
200,1.5,64,0,0,0.0010963
200,1.5,65,0,0,0.00101008
200,1.5,66,0,0,0.00094785
200,1.5,67,0,0,0.00118736
200,1.5,68,0,0,0.00112781
200,1.5,69,0,0,0.00115734
200,1.5,70,0,0,0.00113628
200,1.5,71,0,0,0.00101972
200,1.5,72,0,0,0.00120988
200,1.5,73,0,0,0.00103147
200,1.5,74,0,0,0.00122885
200,1.5,75,0,0,0.00116325
200,1.5,76,0,0,0.00118005
200,1.5,77,0,0,0.000988555
200,1.5,78,1,16.2923,0.00140438
200,1.5,79,0,0,0.00117859
200,1.5,80,0,0,0.00107739
200,1.5,81,0,0,0.00110045
200,1.5,82,0,0,0.00118766
200,1.5,83,0,0,0.00102244
200,1.5,84,0,0,0.00110768
200,1.5,85,0,0,0.00107281
200,1.5,86,1,19.6883,0.00123267
200,1.5,87,0,0,0.00121028
200,1.5,88,1,30.1193,0.00132806
200,1.5,89,0,0,0.0011157
200,1.5,90,0,0,0.00108318
200,1.5,91,0,0,0.00118187
200,1.5,92,0,0,0.00103762
200,1.5,93,1,22.6732,0.00126482
200,1.5,94,0,0,0.0012344
200,1.5,95,0,0,0.00105937
200,1.5,96,0,0,0.00121124
200,1.5,97,1,18.2174,0.00120715
200,1.5,98,0,0,0.000933084
200,1.5,99,0,0,0.00123103
200,1.5,100,0,0,0.00116061
200,2,1,1,20.4892,0.00180899
200,2,2,1,24.2707,0.00181058
200,2,3,1,18.07,0.00190359
200,2,4,0,0,0.00188251
200,2,5,1,15.9442,0.00220211
200,2,6,0,0,0.00172851
200,2,7,1,17.0992,0.00190034
200,2,8,0,0,0.00173544
200,2,9,1,16.652,0.00189592
200,2,10,1,15.5303,0.00189098
200,2,11,0,0,0.00201668
200,2,12,1,17.8981,0.00186009
200,2,13,1,16.4019,0.00180064
200,2,14,1,16.4952,0.0020037
200,2,15,1,17.285,0.00176063
200,2,16,0,0,0.00177715
200,2,17,0,0,0.00170022
200,2,18,1,17.1336,0.00205377
200,2,19,0,0,0.00193333
200,2,20,0,0,0.0018847
200,2,21,0,0,0.00180377
200,2,22,1,16.5453,0.00216813
200,2,23,1,15.2736,0.00217559
200,2,24,1,18.1766,0.00193468
200,2,25,1,15.4296,0.00196861
200,2,26,0,0,0.00156473
200,2,27,0,0,0.00163037
200,2,28,1,15.7771,0.00211166
200,2,29,0,0,0.00165984
200,2,30,1,14.7601,0.00181589
200,2,31,1,15.7935,0.00182658
200,2,32,1,15.3835,0.00213577
200,2,33,1,15.3493,0.00279163
200,2,34,1,16.0266,0.00294926
200,2,35,1,18.1449,0.00190318
200,2,36,0,0,0.00163637
200,2,37,1,14.9407,0.00190185
200,2,38,0,0,0.00191205
200,2,39,1,17.8692,0.00173587
200,2,40,1,18.1078,0.00205181
